"","ResponseId","Progress","Duration (in seconds)","participation","gender","age","education","occupation","city_size","license","duration_license","car_ownership","car_type","km_per year","frequency","companionship","preferences_mobility_3","preferences_mobility_1","preferences_mobility_5","preferences_mobility_6","preferences_mobility_7","preferences_mobility_4","preferences_mobility_2","preferences_mobility_8","preferences_mobility_8_TEXT","prior_knowledge","experience","evaluation_1","evaluation_2","evaluation_3","evaluation_4","evaluation_why_1","evaluation_why_2","evaluation_why_3","evaluation_why_4","evaluation_why_5","evaluation_why_6_n","evaluation_why_n_1","evaluation_why_n_2","evaluation_why_n_3","evaluation_why_n_4","evaluation_why_n_5","car_choice","concern_dest","impact_dest","prob_dest","concern_charging","impact_charging","prob_charging_n","concern_time","impact_time","prob_time","concern_accident","impact_accident","prob_accident","concern_price","impact_price","prob_price","concern_support","impact_support","prob_support","worry_ev_1","worry_ev_2","worry_ev_3","worry_ev_4","worry_ev_5","worry_ev_6","worry_ev_6_TEXT","control_question","n_control_reading","control_neutral","driving_climate_1","driving_climate_2_n","driving_climate_3","driving_climate_4_n","ev_attitude_1","ev_attitude_2","ev_attitude_3","personality_1_n","personality_2","personality_3_n","personality_4","tech_interaction_1","tech_interaction_2","tech_interaction_3_n","tech_interaction_4","tech_interaction_5","tech_interaction_6_n","tech_interaction_7","tech_interaction_8_n","tech_interaction_9","2concern_dest","2impact_dest","2prob_dest","2concern_charging","2impact_charging","2prob_charging","2concern_time","2impact_time","2prob_time","2concern_accident","2impact_accident","2prob_accident","2concern_price","2impact_price","2prob_price","2concern_support","2impact_support","2prob_support","2worry_ev_1","2worry_ev_2","2worry_ev_3","2worry_ev_4","2worry_ev_5","2worry_ev_6","2worry_ev_6_TEXT","careless_speed","speeder_flag","careless_longstr","careless_avgstr","careless_irv","careless_psychsyn_pairs","careless_psychsyn","careless_psychant_pairs","careless_psychant","careless_mahadD","careless_mahadflag","Evaluation","Evaluation_Why","Evaluation_Why_n","Dest","Charging","Time","Accident","Price","Support","Driving_Climate","EV_Attitude","Personality_neuro","Tech_Interaction","Dest_2","Charging_2","Time_2","Accident_2","Price_2","Support_2","framing"
"77","R_293UZkxoRRqIYLP",100,932,1,"weiblich",19,"(Fach-)Abitur","Student:in","100.000 - 500.000 Einwohner:innen","PKW-Führerschein","Zwischen 1-5 Jahren",2,NA,"bis 5.000 km","Mehrmals im Monat",2,4,3,5,1,7,6,2,8,NA,"Ich habe eine relativ klare Vorstellung, wie E-Autos funktionieren.","Ich bin schon öfter mit einem Elektrofahrzeug gefahren.",6,6,1,1,3,6,2,3,5,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,3,1,6,2,5,NA,1,NA,NA,4,3,4,1,1,1,3,3,3,4,3,3,3,3,3,3,4,4,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,1,6,2,5,NA,932,FALSE,20,3.08695652173913,1.41304188564968,81,0.877370618197629,13,-0.610865982157501,0,FALSE,6,4.16666666666667,1.4,1,1,1,1,1.33333333333333,1,4.5,1.66666666666667,3,3.55555555555556,1,1,1,1,1,1,"positiv"
"81","R_2AKjAF4UJExDy2f",100,770,1,"männlich",24,"(Fach-)Hochschulabschluss","Student:in","100.000 - 500.000 Einwohner:innen","PKW-Führerschein","Zwischen 1-5 Jahren",2,NA,"bis 5.000 km","Mehrmals im Jahr",2,8,5,3,1,2,6,7,4,"E-Scooter","Ich habe eine relativ klare Vorstellung, wie E-Autos funktionieren.","Ich bin schon öfter mit einem Elektrofahrzeug gefahren.",5,3,1,1,5,4,3,1,5,1,2,1,1,2,1,1,1,3,2,2,4,2,2,2,4,1,6,1,2,1,2,2,1,1,4,2,1,5,3,6,NA,1,NA,NA,6,2,5,1,1,1,4,2,4,1,5,5,5,2,5,4,2,4,2,5,1,4,1,3,4,2,1,4,2,1,6,1,1,1,3,2,1,2,4,2,1,5,3,6,NA,770,FALSE,3,1.22413793103448,1.59249013959914,81,0.770165365486251,13,-0.734128739126641,0,FALSE,5,4,1.4,2,2.66666666666667,2.66666666666667,2.66666666666667,1.66666666666667,1.33333333333333,5.5,2,5.5,4.77777777777778,2,3,2.33333333333333,2.66666666666667,1.66666666666667,1.66666666666667,"positiv"
"82","R_2ANmHazTeHA6Wrp",100,614,1,"weiblich",23,"(Fach-)Hochschulabschluss","Student:in","< 5.000 Einwohner:innen","PKW-Führerschein","Zwischen 5-10 Jahren",1,2,"10.001 km bis 15.000 km","Mehrmals in der Woche",1,4,1,6,5,7,2,3,8,NA,"Ich habe eine relativ klare Vorstellung, wie E-Autos funktionieren.","Ich habe keine Erfahrung mit E-Autos.",6,6,1,1,5,4,6,6,6,1,1,1,1,1,4,3,1,3,1,3,4,4,1,1,3,1,6,1,5,4,4,3,4,3,1,3,2,6,4,5,NA,1,NA,NA,6,1,6,1,1,1,1,5,5,6,4,5,5,2,6,6,1,5,1,6,1,3,1,4,3,4,4,1,2,1,5,1,3,4,3,3,4,3,1,3,2,6,4,5,NA,614,FALSE,5,1.36538461538462,1.92316164807789,81,0.790688800950467,13,-0.942063796788047,0,FALSE,6,5.5,1.6,1.66666666666667,3.66666666666667,1.66666666666667,2.66666666666667,4.33333333333333,3.33333333333333,6,1,2.5,5.55555555555556,1.66666666666667,3.66666666666667,2.33333333333333,2.33333333333333,3.33333333333333,3.33333333333333,"positiv"
"83","R_2ayscOd69fiQHOV",100,1018,1,"männlich",55,"Realschulabschluss (Mittlere Reife)","Hausmann / Hausfrau und / oder versorge Kinder / pflegebedürftige Personen","5.000 - 20.000 Einwohner:innen","PKW-Führerschein","Seit mehr als 10 Jahren",1,13,"5.001 km bis 10.000 km","Täglich",1,3,1,6,4,5,7,2,8,NA,"Ich habe eine relativ klare Vorstellung, wie E-Autos funktionieren.","Ich nutze aktuell ein E-Auto.",4,5,2,2,4,4,4,4,4,1,2,3,3,3,4,3,3,4,3,3,4,3,4,3,4,1,4,2,6,5,6,5,5,6,4,1,3,5,2,6,NA,1,NA,NA,5,2,4,3,1,1,1,3,5,3,3,3,3,4,3,3,5,3,5,3,3,3,3,3,3,3,4,3,5,3,3,6,5,5,5,5,5,5,4,1,3,5,2,6,NA,1018,FALSE,7,1.65116279069767,1.25966244780165,81,0.729926079096146,13,-0.3144902376689,0,FALSE,4.75,4.33333333333333,3,3.33333333333333,3.33333333333333,3.66666666666667,2.33333333333333,5.66666666666667,5.33333333333333,4.5,1,3.5,2.77777777777778,3,3,4,4,5,5,"positiv"
"85","R_2BaFL6Y0Ni4hoFR",100,1115,1,"weiblich",22,"(Fach-)Hochschulabschluss","Student:in","100.000 - 500.000 Einwohner:innen","PKW-Führerschein","Zwischen 1-5 Jahren",1,2,"bis 5.000 km","Mehrmals im Monat",2,1,4,7,6,5,2,3,8,NA,"Ich habe eine relativ klare Vorstellung, wie E-Autos funktionieren.","Ich bin schon öfter mit einem Elektrofahrzeug gefahren.",4,3,1,1,2,3,6,5,3,3,2,4,1,1,3,3,1,5,6,3,5,2,5,4,6,2,3,2,4,5,3,4,5,3,4,1,2,5,3,6,NA,1,NA,NA,5,3,3,3,2,1,3,5,4,4,3,5,6,3,4,4,2,5,3,5,1,5,1,2,5,3,5,4,7,2,4,2,5,5,4,4,5,3,4,1,2,5,3,6,NA,1115,FALSE,3,1.14516129032258,1.50093138785752,81,0.540595195338497,13,-0.365148371670111,0,FALSE,4.75,3.83333333333333,2.2,4,3.33333333333333,5,2.33333333333333,4,4,4,2,3,4.66666666666667,2.33333333333333,3.33333333333333,5.33333333333333,2.66666666666667,4.66666666666667,4,"positiv"
"87","R_2DNwlkUi87O4Rkl",100,686,1,"männlich",24,"(Fach-)Hochschulabschluss","Student:in","20.000 - 100.000 Einwohner:innen","PKW-Führerschein","Zwischen 5-10 Jahren",1,2,"bis 5.000 km","Mehrmals im Monat",1,4,2,7,6,5,3,1,8,NA,"Ich habe eine relativ klare Vorstellung, wie E-Autos funktionieren.","Ich bin schon öfter mit einem Elektrofahrzeug gefahren.",6,4,4,1,6,6,1,1,3,1,4,2,1,3,2,2,4,5,3,4,5,4,5,3,5,1,6,1,2,3,2,3,3,3,4,2,1,5,3,6,NA,1,NA,NA,6,2,5,1,1,1,1,4,5,4,4,3,4,4,4,3,5,2,5,4,1,5,1,1,4,1,1,2,2,2,5,2,1,3,1,1,2,1,4,2,1,5,3,6,NA,686,FALSE,4,1.26785714285714,1.64184413813037,81,0.56477520310382,13,-0.573684516132894,0,FALSE,4.75,3.83333333333333,2.4,4,4.33333333333333,4.33333333333333,2.66666666666667,2.33333333333333,3,5.5,1,3.5,3,2.33333333333333,2,1.66666666666667,3,1.66666666666667,1.33333333333333,"positiv"
"90","R_2Pe5kA5mEOwNc1G",100,1005,1,"weiblich",60,"Hauptschulabschluss / Volksschulabschluss","Voll berufstätig","< 5.000 Einwohner:innen","PKW-Führerschein","Seit mehr als 10 Jahren",1,2,"5.001 km bis 10.000 km","Täglich",1,1,7,2,6,3,4,5,8,NA,"Ich habe eine relativ klare Vorstellung, wie E-Autos funktionieren.","Ich bin einmal mit einem E-Auto gefahren.",1,1,6,6,1,1,5,4,1,6,6,6,6,6,6,3,4,4,4,4,4,4,6,6,6,3,4,4,6,6,6,6,6,6,1,2,4,3,5,6,NA,1,NA,NA,5,6,1,6,3,3,3,3,5,5,2,5,5,5,5,5,2,5,2,4,4,4,4,4,4,4,4,4,5,3,4,6,6,6,6,6,6,6,1,4,3,2,5,6,NA,1005,FALSE,9,2.29032258064516,1.55266417668105,81,0.782339575714769,13,-0.757484752126741,0,FALSE,1,2.16666666666667,6,4,4,6,3.66666666666667,6,6,2,3,2,4.55555555555556,4,4,4.33333333333333,4.33333333333333,6,6,"positiv"
"93","R_2QFH7TDncT4I1Gw",100,1360,1,"männlich",22,"(Fach-)Abitur","Student:in","100.000 - 500.000 Einwohner:innen","PKW-Führerschein","Zwischen 5-10 Jahren",2,NA,"bis 5.000 km","Mehrmals im Jahr",3,8,6,5,4,2,7,1,3,"Zu Fuß","Ich habe schon einmal von E-Autos gehört, kann aber nichts darüber sagen.","Ich habe keine Erfahrung mit E-Autos.",6,3,3,2,6,5,5,4,4,1,6,3,3,4,5,2,5,4,5,4,5,5,4,4,5,3,6,3,4,2,6,5,2,6,1,2,4,5,3,6,NA,1,NA,NA,6,1,5,1,2,1,2,4,4,2,4,1,2,5,2,1,5,2,5,3,4,3,4,3,3,3,4,3,5,4,6,2,4,2,5,4,2,4,1,5,2,3,4,6,NA,1360,FALSE,3,1.14516129032258,1.47729538559988,81,0.640898533661339,13,-0.673899307612328,0,FALSE,4.5,5,4.2,4.66666666666667,4.66666666666667,4.33333333333333,4,4,4.33333333333333,5.75,1.66666666666667,4.5,1.88888888888889,3.66666666666667,3,4,4,3.66666666666667,3.33333333333333,"positiv"
"94","R_2qfs0yc7NtDlLkH",100,954,1,"weiblich",53,"(Fach-)Abitur","Voll berufstätig","5.000 - 20.000 Einwohner:innen","PKW-Führerschein","Seit mehr als 10 Jahren",1,1,"mehr als 20.001 km","Täglich",1,1,3,5,4,6,7,2,8,NA,"Ich habe eine ungefähre Vorstellung über die Funktionsweise von E-Autos.","Ich habe keine Erfahrung mit E-Autos.",5,3,3,1,5,4,2,4,5,1,6,4,2,1,5,3,1,2,1,3,4,3,4,3,4,3,3,3,2,6,3,3,2,2,3,2,1,5,4,6,NA,1,NA,NA,4,3,3,3,1,1,2,5,4,5,3,3,3,4,3,3,4,2,4,4,1,2,1,2,2,2,3,2,3,1,2,1,3,6,2,3,2,2,2,3,1,5,4,6,NA,954,FALSE,3,1.24561403508772,1.32845899922783,81,0.428650449230379,13,-0.547619047619048,0,FALSE,4.5,4.33333333333333,3.6,1.33333333333333,3.33333333333333,3.66666666666667,3,3.66666666666667,2.33333333333333,3.75,1.33333333333333,2.5,3,1.33333333333333,2,2.66666666666667,1.33333333333333,3.66666666666667,2.33333333333333,"positiv"
"105","R_2U9mDRD9yaoR2YQ",100,728,1,"weiblich",44,"(Fach-)Hochschulabschluss","Voll berufstätig","< 5.000 Einwohner:innen","PKW-Führerschein","Seit mehr als 10 Jahren",1,2,"10.001 km bis 15.000 km","Täglich",1,2,8,3,1,6,4,5,7,NA,"Ich habe eine ungefähre Vorstellung über die Funktionsweise von E-Autos.","Ich bin einmal mit einem E-Auto gefahren.",4,5,3,2,5,4,3,5,4,3,5,4,3,4,6,2,4,3,4,4,6,4,6,4,4,3,4,3,1,4,2,3,2,1,2,3,1,5,4,6,NA,1,NA,NA,5,3,4,2,4,2,3,2,4,2,3,6,5,3,4,4,2,5,2,4,4,5,4,4,6,4,5,5,6,3,3,6,2,4,2,2,2,1,1,3,4,5,2,6,NA,728,FALSE,3,1.16393442622951,1.23618661612901,81,0.627526379767604,13,-0.290608905479327,0,FALSE,4.5,4.16666666666667,4.4,3.66666666666667,4.66666666666667,4.66666666666667,3.33333333333333,2.33333333333333,2,4.5,3,4,4.66666666666667,4.33333333333333,4.66666666666667,5.33333333333333,4,2.66666666666667,1.66666666666667,"positiv"
"107","R_2uQmQN6T4l9KDbv",99,678,1,"männlich",26,"(Fach-)Abitur","Student:in","> 500.000 Einwohner:innen","PKW-Führerschein","Zwischen 1-5 Jahren",1,1,"10.001 km bis 15.000 km","Mehrmals im Monat",2,4,5,1,3,2,6,7,8,NA,"Ich habe schon einmal von E-Autos gehört, kann aber nichts darüber sagen.","Ich habe keine Erfahrung mit E-Autos.",4,4,3,3,4,3,2,3,4,3,4,4,3,4,5,3,5,3,5,6,4,5,4,2,6,3,5,3,3,1,5,3,2,3,5,1,2,4,3,6,NA,1,NA,NA,4,2,5,1,2,3,3,3,3,3,4,4,4,2,5,4,2,4,3,5,4,4,5,5,5,6,5,3,7,3,5,6,4,3,4,2,4,4,5,1,3,4,2,6,NA,678,FALSE,5,1.22413793103448,1.23576783952695,81,0.425283223075861,13,-0.696778670738329,0,FALSE,4,3.33333333333333,4,4.33333333333333,5,4,3.66666666666667,3,2.66666666666667,5,2.66666666666667,4,4.44444444444444,4.33333333333333,5.33333333333333,5,4.66666666666667,3.66666666666667,3.33333333333333,"positiv"
"108","R_2v6LBmGLLzRiNIv",100,1164,1,"weiblich",51,"(Fach-)Hochschulabschluss","Voll berufstätig","100.000 - 500.000 Einwohner:innen","PKW-Führerschein & Kraftfahrzeug-Führerschein","Seit mehr als 10 Jahren",1,2,"15.001 km bis 20.000 km","Mehrmals in der Woche",1,3,2,4,5,6,7,1,8,NA,"Ich habe eine relativ klare Vorstellung, wie E-Autos funktionieren.","Ich bin einmal mit einem E-Auto gefahren.",5,4,1,1,5,3,6,5,5,3,4,2,1,2,6,2,2,3,3,4,3,4,4,3,5,1,3,3,5,4,5,6,4,5,2,1,3,5,4,6,"Es gibt quasi keine Kombis, quasi nur SUVs",1,NA,NA,6,1,6,1,2,1,1,3,2,3,4,6,6,1,6,6,3,6,1,6,3,3,3,4,4,4,4,3,6,2,3,2,5,4,5,5,4,5,2,1,3,5,4,6,NA,1164,FALSE,4,1.29090909090909,1.61129553214966,81,0.837006295500744,13,-0.776408503575608,0,FALSE,5.25,4.66666666666667,3,2.66666666666667,3.66666666666667,4,2.33333333333333,4.66666666666667,5,6,1.33333333333333,4,5.77777777777778,3,4,4.33333333333333,2.33333333333333,4.66666666666667,4.66666666666667,"positiv"
"109","R_2VaWiqlRE2hGc5n",100,3015,1,"männlich",58,NA,"Voll berufstätig","5.000 - 20.000 Einwohner:innen","PKW-Führerschein","Seit mehr als 10 Jahren",1,2,"10.001 km bis 15.000 km","Mehrmals in der Woche",1,3,5,1,2,4,7,6,8,"Beine","Ich habe schon einmal von E-Autos gehört, kann aber nichts darüber sagen.","Ich bin einmal mit einem E-Auto gefahren.",6,3,3,3,5,3,4,4,4,1,2,2,2,1,4,3,1,NA,2,2,NA,3,4,2,4,3,6,2,5,2,4,3,2,5,1,3,2,5,4,6,NA,1,NA,NA,6,3,5,NA,2,2,2,4,4,4,2,2,2,4,1,2,4,3,4,2,2,NA,2,2,NA,2,3,NA,3,3,6,7,4,2,4,4,2,4,1,2,3,4,5,6,NA,3015,FALSE,3,1.31481481481481,1.36994018523113,67,0.592500342594983,12,-0.30060288263462,0,FALSE,4.25,4.33333333333333,2.2,2.33333333333333,3,3.33333333333333,3.66666666666667,3.66666666666667,3.33333333333333,5,2,2.5,2.33333333333333,2.66666666666667,2.66666666666667,3,5.33333333333333,3.33333333333333,3.33333333333333,"positiv"
"110","R_2VfL2XVrUahmhb8",100,770,1,"weiblich",22,"(Fach-)Abitur","Student:in","100.000 - 500.000 Einwohner:innen","PKW-Führerschein","Zwischen 1-5 Jahren",3,NA,"bis 5.000 km","Mehrmals in der Woche",1,1,3,5,4,7,6,2,8,NA,"Ich habe eine relativ klare Vorstellung, wie E-Autos funktionieren.","Ich bin schon öfter mit einem Elektrofahrzeug gefahren.",5,5,3,3,5,5,4,5,5,2,2,3,3,3,3,2,1,4,2,3,4,2,3,2,4,2,3,2,3,3,3,4,3,3,4,2,1,3,5,6,NA,1,NA,NA,4,2,4,2,1,2,2,2,4,4,2,3,4,3,4,4,3,4,5,4,2,4,3,3,4,3,3,3,5,2,3,2,3,3,2,3,3,3,4,2,1,3,5,6,NA,770,FALSE,3,1.33962264150943,1.02555342833444,81,0.676174873741597,13,-0.59109466383899,0,FALSE,4.5,4.83333333333333,2.8,2.33333333333333,3,3,2.33333333333333,3,3.33333333333333,4.5,1.66666666666667,2.5,3.66666666666667,3,3.33333333333333,3.66666666666667,2.33333333333333,2.66666666666667,3,"positiv"
"111","R_2VkJc7GOWtMGlp7",100,877,1,"weiblich",25,"(Fach-)Hochschulabschluss","Student:in","100.000 - 500.000 Einwohner:innen","PKW-Führerschein","Zwischen 1-5 Jahren",3,NA,"5.001 km bis 10.000 km","Mehrmals im Monat",1,6,2,5,7,4,1,3,8,NA,"Ich habe eine ungefähre Vorstellung über die Funktionsweise von E-Autos.","Ich habe keine Erfahrung mit E-Autos.",5,5,2,2,6,4,4,4,5,2,4,2,1,3,4,1,3,4,2,4,3,3,3,3,3,2,3,2,3,3,3,3,2,1,3,1,2,5,4,6,NA,1,NA,NA,5,3,5,2,1,1,1,4,5,4,5,3,4,5,3,4,4,3,5,4,2,3,2,2,3,2,3,3,3,2,4,2,2,3,2,2,3,2,4,1,2,5,3,6,NA,877,FALSE,5,1.3921568627451,1.19834254064541,81,0.76614528898933,13,-0.614683719381258,0,FALSE,5,4.66666666666667,2.8,3,3.33333333333333,3,2.33333333333333,3,2,4.75,1,4,3.11111111111111,2.33333333333333,2.33333333333333,3,2.66666666666667,2.33333333333333,2.33333333333333,"positiv"
"112","R_2w7E57Y5dmUiWmw",100,559,1,"weiblich",22,"(Fach-)Abitur","Student:in","100.000 - 500.000 Einwohner:innen","PKW-Führerschein","Zwischen 1-5 Jahren",2,NA,NA,"Mehrmals im Jahr",2,2,7,1,5,4,8,6,3,NA,"Ich habe keine Kenntnisse über Elektrofahrzeuge.","Ich bin einmal mit einem E-Auto gefahren.",5,5,2,3,5,4,2,1,4,1,1,1,1,2,5,2,1,2,2,2,2,3,4,3,4,1,2,1,2,2,2,1,4,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,6,2,5,2,1,1,1,2,5,5,2,4,4,2,3,1,4,3,4,4,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,6,3,2,4,1,5,NA,559,FALSE,9,1.61363636363636,1.40274796857954,81,0.578489046083856,13,-0.672097771194178,0,FALSE,4.75,3.66666666666667,2,1.66666666666667,2.33333333333333,3.66666666666667,1.33333333333333,2,2.33333333333333,5.25,1,2,3.33333333333333,1.33333333333333,2,1,1,1,1.33333333333333,"positiv"
"114","R_2xJJOxodGdhWqH3",100,663,1,"weiblich",20,"(Fach-)Abitur","Student:in","100.000 - 500.000 Einwohner:innen","PKW-Führerschein","Zwischen 1-5 Jahren",2,NA,"bis 5.000 km","Mehrmals im Monat",2,3,6,5,4,7,1,2,8,NA,"Ich habe eine ungefähre Vorstellung über die Funktionsweise von E-Autos.","Ich bin schon öfter mit einem Elektrofahrzeug gefahren.",5,5,3,2,6,6,1,2,1,3,2,5,2,1,6,3,4,3,3,4,3,4,3,2,4,2,6,2,4,2,4,4,4,2,2,1,4,5,3,6,NA,1,NA,NA,2,2,3,5,2,2,1,2,1,3,3,4,6,3,5,3,2,2,2,2,4,4,1,3,5,4,3,4,3,3,3,7,3,2,3,3,2,3,1,2,4,5,3,6,NA,663,FALSE,4,1.26785714285714,1.37562332944504,81,-0.0541410601678834,13,0.127637434846786,0,FALSE,4.75,3.33333333333333,3.2,3.33333333333333,3.66666666666667,3,3.33333333333333,3.33333333333333,3.33333333333333,3,1.66666666666667,3.5,4,3,4,3.33333333333333,4.33333333333333,2.66666666666667,2.66666666666667,"positiv"
"121","R_2zoRbvjrDx3jnmu",100,767,1,"weiblich",25,"(Fach-)Hochschulabschluss","Voll berufstätig","20.000 - 100.000 Einwohner:innen","PKW-Führerschein & Motorrad-Führerschein & Kraftfahrzeug-Führerschein","Zwischen 5-10 Jahren",1,1,"10.001 km bis 15.000 km","Mehrmals in der Woche",1,7,4,2,3,1,6,5,8,NA,"Ich habe eine relativ klare Vorstellung, wie E-Autos funktionieren.","Ich bin einmal mit einem E-Auto gefahren.",6,5,2,1,6,6,1,2,5,1,1,1,1,1,5,3,2,4,2,3,1,3,1,1,2,1,5,2,1,3,3,3,3,3,1,2,3,6,5,4,"Batterieverschleiß",1,NA,NA,6,1,5,1,1,1,1,3,4,5,2,6,6,1,6,5,3,4,4,6,1,3,1,1,1,1,2,1,1,1,4,1,2,4,3,3,4,2,1,2,3,5,4,6,NA,767,FALSE,5,1.3921568627451,1.76865976091969,81,0.865343180268937,13,-0.936382183834623,0,FALSE,5.5,4.33333333333333,1.8,2.66666666666667,2.33333333333333,1.33333333333333,2.66666666666667,2.33333333333333,3,5.75,1,2,5.11111111111111,1.66666666666667,1,1.33333333333333,2,3,3,"positiv"
"126","R_31jHiBXSD2YKgS7",100,805,1,"weiblich",24,"(Fach-)Hochschulabschluss","Student:in","> 500.000 Einwohner:innen","PKW-Führerschein","Zwischen 5-10 Jahren",2,NA,"bis 5.000 km","Mehrmals im Monat",3,7,4,1,3,2,5,6,8,NA,"Ich habe eine relativ klare Vorstellung, wie E-Autos funktionieren.","Ich bin schon öfter mit einem Elektrofahrzeug gefahren.",6,6,3,2,6,5,3,1,4,1,4,2,1,1,1,1,1,2,1,3,1,2,2,2,1,3,4,2,1,2,2,2,3,2,1,3,2,5,4,6,NA,1,NA,NA,5,3,3,3,1,1,3,2,6,6,2,6,6,2,5,5,4,2,3,4,1,2,1,2,2,1,2,2,5,3,3,2,1,2,2,2,2,1,1,3,2,5,4,6,NA,805,FALSE,4,1.3921568627451,1.57095795700952,81,0.790898518002243,13,-0.288545737736126,0,FALSE,5.25,4.16666666666667,1.8,1.33333333333333,2,1.66666666666667,3,1.66666666666667,2.33333333333333,4,1.66666666666667,1.5,4.44444444444444,1.33333333333333,1.66666666666667,3,2.66666666666667,1.66666666666667,1.66666666666667,"positiv"
"130","R_333Z8Bm3MzVuRdT",99,610,1,"männlich",26,"(Fach-)Hochschulabschluss","Student:in","> 500.000 Einwohner:innen","PKW-Führerschein","Zwischen 5-10 Jahren",1,2,"bis 5.000 km","Noch seltener / nie",1,7,4,1,6,2,3,5,8,NA,"Ich habe schon einmal von E-Autos gehört, kann aber nichts darüber sagen.","Ich bin einmal mit einem E-Auto gefahren.",4,4,5,4,4,2,1,4,4,5,5,6,2,6,6,4,2,5,2,4,6,4,4,5,5,2,6,2,5,3,4,4,4,4,3,1,2,5,6,4,"E-Mobilität wird überholt durch Wasserstoff",1,NA,NA,6,2,5,1,2,2,1,1,5,4,3,5,5,2,5,5,2,2,2,6,2,5,3,3,6,3,4,6,6,2,6,2,5,5,5,4,4,3,1,2,4,5,6,3,"E-Mobilität wird überholt",610,FALSE,3,1.3921568627451,1.52250202704635,81,0.705669112668042,13,-0.313244485205358,0,FALSE,3.25,2.83333333333333,5,3,4.66666666666667,4.66666666666667,3.33333333333333,4,4,5.5,1.66666666666667,3,4.77777777777778,3.33333333333333,4,5.33333333333333,3.33333333333333,5,3.66666666666667,"positiv"
"140","R_3gUvczjdcNGTjlT",100,1135,1,"männlich",24,"(Fach-)Hochschulabschluss","Student:in","100.000 - 500.000 Einwohner:innen","PKW-Führerschein","Zwischen 5-10 Jahren",1,2,"5.001 km bis 10.000 km","Mehrmals im Monat",1,5,3,7,6,4,1,2,8,NA,"Ich habe eine ungefähre Vorstellung über die Funktionsweise von E-Autos.","Ich habe keine Erfahrung mit E-Autos.",6,6,1,1,6,5,3,4,5,1,2,1,1,1,1,5,3,4,2,3,4,1,3,2,4,1,5,1,1,2,5,2,2,4,3,1,4,5,2,6,NA,1,NA,NA,6,1,6,1,1,1,2,2,5,6,3,5,5,2,4,4,3,4,3,5,1,4,1,3,3,1,3,3,2,1,2,1,1,2,5,2,2,3,1,3,4,5,2,6,NA,1135,FALSE,3,1.26785714285714,1.70032270716138,81,0.674638102230876,13,-0.934774956156379,0,FALSE,6,4.83333333333333,1.2,3,2.66666666666667,3,2.33333333333333,2.66666666666667,2.66666666666667,6,1.33333333333333,2,4.44444444444444,2,2.33333333333333,2.66666666666667,1.33333333333333,2.66666666666667,2.33333333333333,"positiv"
"143","R_3iCqdXSbrYqCsiL",100,998,1,"männlich",33,"(Fach-)Hochschulabschluss","Voll berufstätig","100.000 - 500.000 Einwohner:innen","PKW-Führerschein","Seit mehr als 10 Jahren",2,NA,"bis 5.000 km","Mehrmals im Jahr",1,6,4,1,7,2,3,5,8,NA,"Ich habe eine ungefähre Vorstellung über die Funktionsweise von E-Autos.","Ich habe keine Erfahrung mit E-Autos.",4,4,2,2,4,3,2,2,4,2,2,4,2,4,2,1,2,2,2,3,4,3,3,2,4,3,6,2,3,1,4,4,1,4,1,2,3,5,4,6,NA,1,NA,NA,6,1,5,1,2,2,4,5,6,3,4,4,3,4,3,3,3,4,3,4,2,2,3,3,3,2,3,2,5,3,6,2,3,1,2,3,1,5,4,3,1,5,2,6,NA,998,FALSE,3,1.26785714285714,1.29627592083628,81,0.669955331832842,13,-0.775484829575103,0,FALSE,4.5,3.33333333333333,2.8,2,3.33333333333333,3,3.66666666666667,2.66666666666667,3,5.75,2.66666666666667,4,3.55555555555556,2.33333333333333,2.66666666666667,3.33333333333333,3.66666666666667,2,3,"positiv"
"144","R_3inbLPx28P0WSRN",100,1645,1,"männlich",26,"(Fach-)Hochschulabschluss","Voll berufstätig","100.000 - 500.000 Einwohner:innen","PKW-Führerschein","Zwischen 5-10 Jahren",1,2,"5.001 km bis 10.000 km","Mehrmals im Monat",1,5,3,4,2,1,7,6,8,NA,"Ich habe eine relativ klare Vorstellung, wie E-Autos funktionieren.","Ich bin einmal mit einem E-Auto gefahren.",4,4,2,4,4,4,3,3,4,3,4,4,2,4,2,5,3,4,2,5,4,4,5,4,5,1,5,1,4,2,4,3,2,4,4,1,3,5,2,6,NA,1,NA,NA,6,1,5,1,1,1,2,2,5,2,6,2,3,4,2,3,4,2,3,4,1,5,1,3,5,3,4,5,5,1,5,1,4,2,4,3,2,4,1,4,2,5,3,6,NA,1645,FALSE,3,1.18333333333333,1.40311690890011,81,0.741398912295553,13,-0.73726115248848,0,FALSE,4,3.66666666666667,3.2,3,4.33333333333333,4.66666666666667,2.33333333333333,3.33333333333333,3,5.75,1.33333333333333,5.5,2.88888888888889,2.33333333333333,3.66666666666667,4.66666666666667,2.33333333333333,3.33333333333333,3,"positiv"
